Blocksize = 16
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.398407   5.020000  10.328946 0.000000e+000
       144   0.359432   5.566030   8.989509 0.000000e+000
       272   0.394725   5.098144   8.292365 0.000000e+000
       400   0.398135   5.143984   8.891602 0.000000e+000
       528   0.394471   5.224139   9.208516 0.000000e+000
       656   0.437979   4.649912   2.088911 0.000000e+000
       784   0.559947   2.506711   3.009931 0.000000e+000
       912   0.596616   2.113194   4.735703 0.000000e+000
      1040   0.455020   4.494834   1.835656 0.000000e+000
      1168   0.629977   1.759017   6.415487 0.000000e+000
      1296   0.000000        nan        nan 0.000000e+000
      1424   0.000000        nan        nan 0.000000e+000
      1552   0.000000        nan        nan 0.000000e+000

Blocksize = 16
 Dimension       Time    Gflop/s       GB/s        Error
        16   0.381683   5.239958  10.781523 0.000000e+000
       144   0.367462   5.444398   8.793065 0.000000e+000
       272   0.378335   5.319002   8.651602 0.000000e+000
       400   0.391310   5.233702   9.046685 0.000000e+000
       528   0.386916   5.326147   9.388323 0.000000e+000
       656   0.431716   4.717370   2.119215 0.000000e+000
       784   0.544145   2.579506   3.097339 0.000000e+000
       912   0.612113   2.059694   4.615808 0.000000e+000
      1040   0.449112   4.553963   1.859804 0.000000e+000
      1168   0.631569   1.754583   6.399315 0.000000e+000
      1296   0.000000        nan        nan 0.000000e+000
      1424   0.000000        nan        nan 0.000000e+000
      1552   0.000000        nan        nan 0.000000e+000

Blocksize = 32
 Dimension       Time    Gflop/s       GB/s        Error
        32   0.465360   4.297807   7.768880 0.000000e+000
       160   0.457228   4.389582   7.155664 0.000000e+000
       288   0.456694   4.393711   7.058307 0.000000e+000
       416   0.459173   4.389971   7.143088 0.000000e+000
       544   0.520813   3.919101   1.697470 0.000000e+000
       672   0.543354   3.436529   4.179148 0.000000e+000
       800   0.488331   4.193877   7.207362 0.000000e+000
       928   0.739558   1.485012   5.579605 0.000000e+000
      1056   0.563685   3.441284   2.979165 0.000000e+000
      1184   0.778790   1.252420   1.039287 0.000000e+000
      1312   0.000000        nan        nan 0.000000e+000
      1440   0.000000        nan        nan 0.000000e+000
      1568   0.000000        inf        inf 0.000000e+000

Fopenmp Blocksize = 32 Flag = -O3
 Dimension       Time    Gflop/s       GB/s        Error
        32   1.073861   1.862464  15.365329 0.000000e+00
       160   0.061112  32.841995 264.378060 1.054145e+11
       288   0.043741  45.874151 368.267492 2.441622e+10
       416   0.036553  55.146124 442.229498 1.735922e+10
       544   0.043765  46.638152 421.495351 9.692482e+09
       672   0.042118  44.333817 437.977683 0.000000e+00
       800   0.037005  55.343872 443.304418 0.000000e+00
       928   0.054182  20.269689 340.458898 0.000000e+00
      1056   0.040221  48.228539 458.634645 0.000000e+00
      1184   0.071443  13.652454 258.202260 0.000000e+00
      1312   0.000000        nan        nan 0.000000e+00
      1440   0.000000        nan        nan 0.000000e+00
      1568   0.000000        inf        inf 0.000000e+00

Fopenmp Blocksize = 32 Flag = -O2
 Dimension       Time    Gflop/s       GB/s        Error
        32   1.109573   1.802520  14.870791 0.000000e+00
       160   0.188302  10.658623  85.801914 7.059349e+10
       288   0.158059  12.695141 101.913769 9.703032e+09
       416   0.149836  13.453084 107.883385 0.000000e+00
       544   0.169087  12.071411 109.096169 0.000000e+00
       672   0.172270  10.839100 107.080420 0.000000e+00
       800   0.160433  12.765453 102.251282 0.000000e+00
       928   0.249005   4.410563  74.081821 0.000000e+00
      1056   0.175015  11.083622 1054009316 0.000000e+00
      1184   0.253741   3.843968  72.699106 0.000000e+00
      1312   0.000001   0.000000   0.000000 0.000000e+00
      1440   0.000000        nan        nan 0.000000e+00
      1568   0.000000        inf        inf 0.000000e+00

